;Title, http://www.gcdataconcepts.com, LSM6DSM, BMP384, GPS
;Version, 2585, Build date, Feb  9 2024,  SN:CCDC20234ECBE41
;Start_time, 2024-07-22, 19:19:37.275
;Uptime, 5,sec,  Vbat, 4076, mv, EOL, 3500, mv
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;BMP384, SI, 0.100,sec, Units, Pa, mdegC
;Alt Trigger disabled
;LSM6DSM, SR,104,Hz, Units, mG, mdps, fullscale gyro 250dps, accel 4g
;Magnetometer, SR,10,Hz, Units, nT, Temperature, 31,degC
;CAM_M8 Gps, SR,10,Hz
;Gps Sats, TOW, 155995000, ver, 1, numSat, 24
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
1721675978.481147,-218,80,1037,-17928,-1322,-9967
1721675978.490443,-165,31,1046,-14525,3430,-16372
1721675978.499739,-124,-41,1041,-11611,7568,-20388
1721675978.509035,-86,-97,1036,-9327,10622,-20825
1721675978.518331,-15,-141,1039,-8417,12836,-18725
1721675978.527627,-9,-164,1066,-8496,14096,-14972
1721675978.536927,26,-152,1083,-9292,14271,-10544,-3265,-39965,70703,84559,34028, 156001.500, 40.0102468,-105.2441079, 1589.226,1610.554, 5445.714,3850.701
1721675978.546223,86,-176,1078,-10368,14271,-6230
1721675978.555519,172,-328,1058,-11322,13877,-3387
1721675978.564815,245,-208,1052,-13081,12416,43
1721675978.574111,218,-128,1055,-16660,9415,5661
1721675978.583407,168,-79,1040,-18803,5337,9476
1721675978.592703,143,-42,1058,-19766,2240,10132
1721675978.601999,78,-24,1049,-20125,-9,9362
1721675978.611298,55,-5,1045,-19958,-1952,7717,-3186,-38781,71612
1721675978.620594,41,-4,1036,-19442,-2897,5276
1721675978.629890,55,-64,1033,-18453,-3360,2721
1721675978.639186,81,-112,1030,-17666,-3807,1058
1721675978.648482,111,-135,1048,-18130,-4690,1785
1721675978.657778,148,32,1018,-20510,-6327,4733
1721675978.667074,11,3,1049,-23030,-8287,8645
1721675978.676370,-17,15,1019,-21070,-9380,6457
1721675978.685669,-7,50,1011,-19643,-8610,3657,,,,84556,34025, 156001.600, 40.0103208,-105.2442547, 1616.376,1637.704, 130.765,150.606
1721675978.694965,3,-5,992,-17893,-7429,2240
1721675978.704261,16,142,1029,-15785,-6808,78
1721675978.713557,21,43,966,-14525,-6712,-648
1721675978.722853,28,47,987,-13177,-6755,-1917
1721675978.732149,34,55,962,-11445,-6703,-3518
1721675978.741445,52,32,966,-9616,-6887,-5259
1721675978.750741,59,-9,964,-7796,-7097,-6869
1721675978.760041,74,-38,966,-6483,-7429,-7455,-3796,-37957,72082,84556,34023, 156001.700, 40.0103584,-105.2442607, 1620.092,1641.420, 71.344,72.185
1721675978.769337,88,-61,976,-5783,-7814,-6965
1721675978.778633,93,-76,988,-5407,-8304,-6388
1721675978.787929,11,-155,1003,-5390,-8987,-5565
1721675978.797225,85,-93,1002,-5801,-9520,-3824
1721675978.806521,80,-135,1015,-7315,-8899,-2083
1721675978.815817,80,-150,1017,-8242,-9100,2301
1721675978.825113,69,-158,1023,-9677,-9380,5845
1721675978.834412,57,-128,1036,-11445,-9625,8058,-4144,-37274,72503,84558,34023, 156001.800, 40.0103851,-105.2442800, 1623.509,1644.836, 67.695,73.939
1721675978.843708,10,-126,1048,-13300,-9678,10465
