;Title, http://www.gcdataconcepts.com, LSM6DSM, BMP384, GPS
;Version, 2585, Build date, Feb  9 2024,  SN:CCDC2023B942042
;Start_time, 2024-07-22, 19:42:40.133
;Uptime, 5,sec,  Vbat, 4072, mv, EOL, 3500, mv
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;BMP384, SI, 0.100,sec, Units, Pa, mdegC
;Alt Trigger disabled
;LSM6DSM, SR,104,Hz, Units, mG, mdps, fullscale gyro 250dps, accel 4g
;Magnetometer, SR,10,Hz, Units, nT, Temperature, 30,degC
;CAM_M8 Gps, SR,10,Hz
;Gps Sats, TOW, 157376000, ver, 1, numSat, 21
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
1721677361.315186,-5,-50,1022,228,-1654,-175,-22802,17028,72375,84535,32618, 157382.200, 40.0101435,-105.2443291, 1585.571,1606.899, 123.269,119.243
1721677361.324436,-10,-44,1026,0,-1812,-420
1721677361.333686,-3,-37,1023,-201,-1637,-648
1721677361.342936,-11,-46,1024,-227,-1400,-1007
1721677361.352186,-19,-33,1023,-236,-1427,-937
1721677361.361436,-11,-34,1024,-560,-1453,-648
1721677361.370686,-6,-42,1025,-743,-1365,-499
1721677361.379936,-8,-43,1028,-691,-1532,-412
1721677361.389191,-1,-39,1025,-805,-1593,-88,-22814,16754,72387,,, 157382.300, 40.0102591,-105.2443111, 1599.769,1621.097, 94.492,95.913
1721677361.398441,-11,-37,1022,-1085,-1619,17
1721677361.407691,-13,-34,1019,-1190,-1680,122
1721677361.416941,-14,-32,1011,-1172,-1567,341
1721677361.426191,-1,-25,1002,-1111,-1295,428
1721677361.435441,-6,-35,997,-918,-1085,245
1721677361.444691,-14,-40,1008,-708,-1190,17
1721677361.453941,-13,-35,1019,-700,-1365,0
1721677361.463196,-10,-41,1031,-822,-1479,70,-22833,17083,72460,84548,32620, 157382.400, 40.0102555,-105.2443176, 1598.193,1619.521, 77.913,81.461
1721677361.472446,-12,-46,1041,-866,-1558,-167
1721677361.481696,-12,-43,1046,-962,-1637,-245
1721677361.490946,-8,-40,1042,-1111,-1514,-35
1721677361.500196,-4,-45,1037,-1163,-1357,70
1721677361.509446,0,-48,1032,-1128,-1269,201
1721677361.518696,5,-46,1034,-1181,-1190,393
1721677361.527946,2,-43,1036,-1268,-1252,17
1721677361.537201,2,-47,1034,-1522,-1357,-394,-22814,17211,72357,84552,32622
1721677361.546451,0,-44,1026,-1601,-1330,-604
1721677361.555701,-7,-40,1023,-1872,-1348,-455
1721677361.564951,-6,-28,1026,-2196,-1435,-263
1721677361.574201,-5,-28,1030,-2493,-1619,-202
1721677361.583451,-9,-24,1028,-2607,-1698,-420
1721677361.592701,-13,-27,1022,-2590,-1593,-727
1721677361.601951,-11,-30,1014,-2502,-1514,-998
1721677361.611206,-10,-34,1011,-2257,-1313,-1147,,,,84543,32627, 157382.500, 40.0102538,-105.2443211, 1598.514,1619.842, 67.349,71.893
1721677361.620456,-16,-41,1013,-2091,-1208,-1339
1721677361.629706,-18,-33,1024,-2152,-1199,-1514
1721677361.638956,-18,-30,1032,-2187,-1287,-1287
1721677361.648206,-17,-31,1034,-2170,-1234,-753
1721677361.657456,-11,-28,1027,-2126,-1007,-210
