;Title, http://www.gcdataconcepts.com, LSM6DSM, BMP384, GPS
;Version, 2585, Build date, Feb  9 2024,  SN:CCDC2023A912FC8
;Start_time, 2024-07-22, 19:48:39.171
;Uptime, 5,sec,  Vbat, 4052, mv, EOL, 3500, mv
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;BMP384, SI, 0.100,sec, Units, Pa, mdegC
;Alt Trigger disabled
;LSM6DSM, SR,104,Hz, Units, mG, mdps, fullscale gyro 250dps, accel 4g
;Magnetometer, SR,10,Hz, Units, nT, Temperature, 31,degC
;CAM_M8 Gps, SR,10,Hz
;Gps Sats, TOW, 157733219, ver, 1, numSat, 20
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
;, GPS, 008, 00, 12, 321, 0, 0x00001910
;, GPS, 010, 00, 46, 281, 0, 0x00001910
;, GPS, 013, 00, 04, 037, 0, 0x00001910
;, GPS, 015, 00, 31, 049, 0, 0x00001910
;, GPS, 016, 00, 02, 264, 0, 0x00001910
;, GPS, 018, 00, 61, 112, 0, 0x00001910
;, GPS, 023, 00, 70, 346, 0, 0x00001910
;, GPS, 024, 00, 27, 103, 0, 0x00001910
;Time, Ax, Ay, Az, Gx, Gy, Gz, Mx, My, Mz, P, T, TOW, Lat,Lon, Height(m), MSL(m), hdop(m), vdop(m)
1721677719.234403,-615,-445,659,-2660,26836,-78838,29028,6262,85162,84466,38844, 157735.200, 40.0102503,-105.2441129, 1591.858,1613.186, 3843.865,2718.023
1721677719.243878,-625,-425,662,37818,10946,-158
1721677719.253353,-622,-460,621,37485,28061,1933
1721677719.262828,-612,-518,575,41117,42726,3806
1721677719.272303,-598,-544,629,37617,48300,3683
1721677719.281778,-607,-539,668,29077,45263,-1689
1721677719.291253,-534,-532,681,25297,41851,-9660
1721677719.300728,-626,-448,628,24150,38307,-9949
1721677719.698730,-692,-495,609,13467,40451,-3238,29968,5377,84869,84467,38839
1721677719.708201,-612,-538,666,11104,29470,-7657
1721677719.717672,-579,-561,669,14158,4672,-12819
1721677719.727143,-546,-637,588,14219,-8015,-18900
1721677719.736614,-603,-520,664,17614,-11865,-26845
1721677719.746085,-605,-501,649,12242,-16039,-33277
1721677719.755556,-627,-490,655,12583,-14552,-43890
1721677719.765027,-646,-456,699,17492,-17780,-48012
1721677719.774505,-627,-467,674,18664,-26504,-49849,,,,84465,38839
1721677719.783980,-604,-493,655,22313,-34353,-50155
1721677719.793455,-616,-484,655,18979,-39839,-54093
1721677719.802930,-626,-470,643,11428,-44905,-64348
1721677719.812405,-651,-464,687,4095,-49814,-76020
1721677719.821880,-739,-458,723,-5766,-55309,-85252
1721677719.831355,-701,-475,762,-7997,-63307,-93337
1721677719.840830,-680,-451,721,1855,-75198,-106217
1721677719.850311,-734,-451,696,7665,-93949,-107109,25006,4681,84991,84465,38837
1721677719.859782,-736,-407,604,3483,-112263,-107800
1721677719.869253,-745,-319,552,-5416,-128468,-120680
1721677719.878724,-745,-311,506,-23572,-139090,-130183
1721677719.888195,-788,-238,509,-47608,-138198,-137743
1721677719.897666,-797,-200,477,-65476,-137760,-141427
1721677719.907137,-818,-127,422,-74611,-134654,-140928
1721677719.916608,-800,-78,346,-77700,-130375,-138600
1721677719.926086,-795,-78,335,-83728,-123244,-134952,13793,10412,83782
1721677719.935561,-811,-69,346,-101867,-113015,-133683
1721677719.945036,-844,-73,312,-118265,-105543,-134024
1721677719.954511,-875,-55,381,-126997,-92698,-134567
1721677719.963986,-917,-12,432,-133945,-78330,-130804
1721677719.973461,-929,14,440,-127758,-69388,-122194
1721677719.982936,-902,-1,478,-115578,-65179,-110137
1721677719.992411,-898,57,347,-102051,-65792,-97073
1721677720.001892,-877,82,308,-91936,-65669,-91385,9112,22094,81933,84468,38830
1721677720.011363,-906,58,333,-104510,-59115,-92400
1721677720.020834,-926,35,411,-120977,-46900,-101535
1721677720.030305,-918,110,360,-120155,-39445,-108658
1721677720.039776,-930,182,320,-108176,-38789,-112350
1721677720.049247,-933,195,349,-109016,-36462,-110907
1721677720.058718,-922,196,364,-114975,-33277,-103968
1721677720.068189,-900,215,315,-111343,-32087,-94859
1721677720.077667,-892,239,300,-100808,-29707,-85908,8923,31903,79077,84462,38833, 157739.000, 40.0136712,-105.2445150, 1591.858,1613.185, 808.899,238.507
1721677720.087142,-924,243,310,-92496,-24623,-78348
1721677720.096617,-946,260,347,-85023,-19434,-71899
1721677720.106092,-938,284,326,-73211,-16984,-63193
1721677720.115567,-935,278,308,-59902,-15190,-54355
1721677720.125042,-941,274,315,-56822,-13178,-51057
1721677720.134517,-955,286,341,-59955,-12793,-52010
1721677720.143992,-972,323,343,-59788,-12828,-51529
1721677720.153473,-981,338,335,-55028,-11900,-46550,9228,36676,76879,84463,38837, 157739.100, 40.0110238,-105.2447289, 1591.858,1613.185, 634.644,413.106
1721677720.162948,-969,357,348,-46462,-12163,-37372
1721677720.172423,-938,355,289,-35323,-13808,-26137
1721677720.181898,-921,340,257,-25410,-14622,-16407
1721677720.191373,-911,321,244,-23187,-13362,-12679
1721677720.200848,-903,336,237,-23703,-11384,-14657
1721677720.210323,-846,341,217,-25147,-9048,-18122
1721677720.219798,-940,342,230,-28393,-4655,-21937
1721677720.229400,-595,434,286,-30756,1688,-24273,,,,84467,38837, 157739.200, 40.0109931,-105.2446841, 1592.783,1614.111, 364.014,304.684
1721677720.238875,-1023,344,142,-19967,-5942,-21473
1721677720.248350,-869,357,138,-15548,-770,-24115
1721677720.257825,-870,355,239,-15268,7227,-12845
1721677720.267300,-858,383,218,-7848,5197,-8987
1721677720.276775,-898,389,230,2118,8610,-3535
1721677720.286250,-879,383,241,2940,9940,-1733
1721677720.295725,-893,406,290,3597,10578,-1479
1721677720.305267,-938,375,167,8698,6177,-1829,10827,39263,76452,,, 157739.300, 40.0109726,-105.2446547, 1593.810,1615.138, 325.936,269.997
1721677720.314742,-824,407,209,12277,7157,-2057
1721677720.324217,-899,360,255,-297,22828,-4244
1721677720.333692,-884,430,241,8330,16003,-11708
1721677720.343167,-704,505,258,7070,14682,-11822
1721677720.352642,-963,481,235,5968,12127,-10964
1721677720.362117,-886,448,180,11410,6965,-8733
1721677720.371592,-858,412,280,9538,15146,1767
1721677720.381012,-840,433,257,16337,12486,7901,12445,40490,76995,84462,38830
1721677720.390487,-874,433,268,21928,12530,6413
1721677720.399962,-860,437,278,17194,11147,1601
1721677720.409437,-847,427,249,12189,9275,-1068
1721677720.418912,-868,428,244,14604,10990,-2363
1721677720.428387,-1002,442,265,17002,14393,-3982
1721677720.437862,-702,490,290,16450,11252,-4673
1721677720.447337,-797,498,215,10492,6737,1627
1721677720.456787,-917,434,227,-7183,23651,-4979,13879,41546,76947,84462,38830, 157739.400, 40.0109581,-105.2446262, 1595.124,1616.452, 269.027,248.734
