;Title, http://www.gcdataconcepts.com, LSM6DSM, BMP384, GPS
;Version, 2585, Build date, Feb  9 2024,  SN:CCDC2023B942042
;Start_time, 2024-07-22, 19:56:23.135
;Uptime, 5,sec,  Vbat, 4062, mv, EOL, 3500, mv
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;BMP384, SI, 0.100,sec, Units, Pa, mdegC
;Alt Trigger disabled
;LSM6DSM, SR,104,Hz, Units, mG, mdps, fullscale gyro 250dps, accel 4g
;Magnetometer, SR,10,Hz, Units, nT, Temperature, 30,degC
;CAM_M8 Gps, SR,10,Hz
;Gps Sats, TOW, 158199000, ver, 1, numSat, 21
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
;, GPS, 008, 00, 14, 319, 0, 0x00001911
;, GPS, 010, 00, 49, 285, 0, 0x00001911
;, GPS, 013, 00, 01, 036, 0, 0x00001911
;, GPS, 015, 00, 27, 049, 0, 0x00001911
;, GPS, 016, 00, 00, 261, 0, 0x00001911
;, GPS, 018, 00, 58, 117, 0, 0x00001911
;, GPS, 023, 00, 70, 357, 0, 0x00001911
;, GPS, 024, 00, 29, 100, 0, 0x00001911
;Time, Ax, Ay, Az, Gx, Gy, Gz, Mx, My, Mz, P, T, TOW, Lat,Lon, Height(m), MSL(m), hdop(m), vdop(m)
1721678183.197173,-11,-17,1094,3194,-8287,7997,16986,40002,73034,84526,32934, 158199.123, 40.0104526,-105.2440590, 1587.233,1608.561, 280976.704,198680.528
1721678183.206423,-14,14,1081,12189,-359,84761
1721678183.215673,-16,0,1081,11122,411,86668
1721678183.224923,-11,-4,1089,10500,1102,87675
1721678183.234173,-13,-16,1113,9337,1846,88698
1721678183.243423,-29,-54,1158,7770,2467,88725
1721678183.252673,-40,-41,1190,5697,3010,89565
1721678183.261923,-43,-18,1200,2512,3850,92610
1721678183.650818,-42,1,1202,-770,4900,94088,12689,40551,72894,84527,32949
1721678183.660068,-60,-16,1188,-3850,6037,92286
1721678183.669318,25,200,1130,-6833,7070,88961
1721678183.678568,33,229,1075,-9677,8277,85128
1721678183.687818,138,306,1012,-10062,8566,79467
1721678183.697068,168,298,957,-8636,7700,71548
1721678183.706318,193,294,916,-5398,4462,65213
1721678183.715568,205,269,898,-2108,560,62877
1721678183.724823,165,206,900,1567,-3745,65791,,,,84529,32947, 158204.600, 40.0104526,-105.2440590, 1587.233,1608.561, 5702.316,4032.146
1721678183.734073,100,146,924,5137,-8260,73141
1721678183.743323,67,153,948,7245,-11489,80570
1721678183.752573,28,174,958,7814,-13125,84262
1721678183.761823,-1,167,957,8628,-13922,83291
1721678183.771073,-69,201,956,9879,-14263,81156
1721678183.780323,-57,200,964,11078,-14184,80071
1721678183.789573,-62,171,959,13423,-12627,81130
1721678183.798829,-66,126,956,15820,-11892,82363,7476,39782,73406,84533,32949, 158204.700, 40.0104526,-105.2440590, 1587.233,1608.561, 5702.323,4032.151
1721678183.808079,-55,98,957,17273,-11367,81016
1721678183.817329,-55,72,959,17903,-10833,80368
1721678183.826579,-87,-9,966,18130,-10387,77796
1721678183.835829,-102,-89,989,18017,-9818,74340
1721678183.845079,-90,-93,1004,16468,-8155,78417
1721678183.854329,-82,-56,1011,13195,-6029,85251
1721678183.863579,-73,-19,1011,9512,-4174,86581
1721678183.872834,-65,21,999,6589,-2503,82608,2557,37731,74133,,, 158204.800, 40.0104526,-105.2440590, 1587.233,1608.561, 5702.323,4032.151
1721678183.882084,-54,59,980,4472,-1085,77061
1721678183.891334,-55,87,958,3395,70,70271
1721678183.900584,-62,109,944,3264,813,64925
1721678183.909834,-74,101,945,3990,1575,62168
1721678183.919084,-85,70,953,5259,2380,60908
1721678183.928334,-75,60,964,6335,3395,60768
1721678183.937584,-54,72,967,6563,4593,62956
1721678183.946839,-32,87,973,6528,5643,66368,-708,35888,74676,84530,32944
1721678183.956089,-12,111,974,6580,6116,67891
1721678183.965339,11,139,974,6764,6168,66351
1721678183.974589,25,146,972,7385,5827,61888
1721678183.983839,31,151,971,8628,5013,55203
1721678183.993089,44,157,966,10177,3850,48300
1721678184.002339,49,151,966,11997,2581,42805
1721678184.011589,44,117,973,14202,1111,39445
1721678184.020844,37,81,984,16485,-473,37616,-3125,33233,75537,84529,32958, 158204.899, 40.0102613,-105.2441103, 1587.233,1608.561, 692.959,707.107
1721678184.030094,50,46,987,18192,-1960,36916
1721678184.039344,75,21,983,19180,-3080,37625
1721678184.048594,92,3,980,19732,-4332,38613
1721678184.057844,92,-8,976,20055,-6169,37450
1721678184.067094,80,-39,985,20309,-8190,33985
1721678184.076344,58,-87,1000,20677,-10142,29435
1721678184.085594,42,-131,1013,20808,-11612,25742
1721678184.094849,40,-87,1044,20353,-12644,24211,-6066,30371,76196,84528,32951, 158204.999, 40.0102830,-105.2441194, 1584.832,1606.160, 759.486,589.579
1721678184.104099,12,-104,1008,18839,-13353,25313
1721678184.113349,45,-100,1020,18620,-14009,28463
1721678184.122599,13,-189,1033,19294,-14692,32891
1721678184.131849,0,-203,1025,18900,-15689,40005
1721678184.141099,-23,-211,1035,17404,-16669,45202
1721678184.150349,-44,-211,1050,15287,-17150,45552
1721678184.159599,-60,-229,1059,12933,-17115,39340
1721678184.168976,-59,-234,1072,10150,-16363,26075
1721678184.178226,-72,-216,1085,7053,-15304,16065
1721678184.187476,-73,-208,1093,4463,-14324,13720
1721678184.196726,-86,-181,1096,2240,-13152,13676
1721678184.205976,-89,-126,1089,-210,-11865,13256
1721678184.215226,-98,-64,1079,-2406,-10422,11480
1721678184.224476,-96,-23,1070,-3491,-8899,9327
1721678184.233726,-93,-13,1067,-3421,-7158,6903
1721678184.242859,-86,-10,1072,-2546,-5443,6107,-7794,29156,76422,84523,32951, 158205.100, 40.0102359,-105.2441252, 1584.869,1606.197, 629.628,548.332
1721678184.252109,-66,-5,1077,-1697,-3745,6413
1721678184.261359,-55,31,1077,-1085,-2100,6816
1721678184.270609,-55,49,1073,-630,-788,7306
1721678184.279859,-35,62,1067,377,603,5180
1721678184.289109,-19,48,1054,2057,2003,4331
1721678184.298359,-12,22,1050,4052,3071,6466
1721678184.307609,-14,14,1056,5775,3893,9065
1721678184.316864,-15,15,1063,6808,4786,9327,-8392,27770,76971,84530,32953, 158205.200, 40.0102541,-105.2441424, 1582.414,1603.742, 532.129,496.547
1721678184.326114,-14,-29,1063,7770,5827,8050
1721678184.335364,2,-107,1078,9048,7113,7945
1721678184.344614,-17,-166,1095,9739,8478,14595
1721678184.353864,-17,-218,1113,8987,9563,20387
1721678184.363114,-3,-265,1124,6694,11287,18550
1721678184.372364,8,-240,1114,3107,13335,15785
1721678184.381614,19,-177,1090,-1181,15146,17701
