;Title, http://www.gcdataconcepts.com, LSM6DSM, BMP384, GPS
;Version, 2585, Build date, Feb  9 2024,  SN:CCDC20234ECBE41
;Start_time, 2024-07-22, 19:50:15.276
;Uptime, 5,sec,  Vbat, 4056, mv, EOL, 3500, mv
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;BMP384, SI, 0.100,sec, Units, Pa, mdegC
;Alt Trigger disabled
;LSM6DSM, SR,104,Hz, Units, mG, mdps, fullscale gyro 250dps, accel 4g
;Magnetometer, SR,10,Hz, Units, nT, Temperature, 35,degC
;CAM_M8 Gps, SR,10,Hz
;Gps Sats, TOW, 157833000, ver, 1, numSat, 21
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
;, GPS, 008, 31, 12, 321, 0, 0x0000191c,*
;, GPS, 018, 40, 60, 113, 0, 0x0000191c,*
;, GPS, 010, 00, 47, 282, 0, 0x00001911
;, GPS, 013, 00, 03, 037, 0, 0x00001911
;, GPS, 015, 00, 30, 049, 0, 0x00001911
;, GPS, 016, 00, 01, 263, 0, 0x00001911
;, GPS, 023, 00, 70, 348, 0, 0x00001911
;, GPS, 024, 00, 27, 103, 0, 0x00001911
;Time, Ax, Ay, Az, Gx, Gy, Gz, Mx, My, Mz, P, T, TOW, Lat,Lon, Height(m), MSL(m), hdop(m), vdop(m)
1721677815.329741,798,-13,577,-5241,11795,-3955,39892,-19641,56091,84534,37934, 157833.254, 40.0102627,-105.2441087, 1592.643,-473873.146, 1125636.372,-1828710.323
1721677815.339037,868,-69,616,622,11086,22128
1721677815.348333,852,-96,651,-6396,11786,29968
1721677815.357629,702,-126,473,-13422,9476,32908
1721677815.366925,390,33,229,-18095,8557,31193
1721677815.376221,394,103,368,-22942,13623,29951
1721677815.385517,668,147,415,-27422,29522,29758
1721677815.394813,894,166,594,-25445,47390,24360
1721677815.785614,984,125,488,-17377,56560,18235,,,,84529,37941
1721677815.794910,1037,-92,514,-8470,53716,18987
1721677815.804206,1060,96,659,-5215,44485,19337
1721677815.813502,992,-30,623,-6895,32935,18173
1721677815.822798,937,5,662,-7848,22242,17561
1721677815.832094,798,15,629,-7402,13816,20475
1721677815.841390,865,48,651,-6755,11523,20728
1721677815.850686,704,8,747,-4165,14306,18348
1721677815.860016,930,-155,688,-78,15828,10718,42199,-17962,53778,84530,37943
1721677815.869312,980,38,547,1042,18821,5600
1721677815.878608,886,24,532,-577,15828,5285
1721677815.887904,887,55,540,-1067,6912,10605
1721677815.897200,834,118,506,-4103,1627,7455
1721677815.906496,796,115,480,-4523,-1829,2047
1721677815.915792,808,95,501,-2397,-3719,192
1721677815.925088,746,86,528,-262,-3185,-4034
1721677815.934388,671,16,468,3317,-1479,-8190,42742,-17706,52941,84532,37943
1721677815.943684,732,-41,516,6755,3368,-14202
1721677815.952980,730,-108,477,8847,10045,-18008
1721677815.962276,750,-94,426,8339,15146,-19049
1721677815.971572,807,-26,465,2967,18943,-16564
1721677815.980868,908,28,638,-4287,21971,-12084
1721677815.990164,868,51,413,-6912,23905,-7980
1721677815.999460,858,213,430,-4427,21498,-8217
1721677816.008759,979,139,482,-2555,17605,-9004,43518,-17816,51293
1721677816.018055,948,107,492,412,14402,455
1721677816.027351,938,104,513,350,11270,5031
1721677816.036647,842,142,560,648,8268,4900
1721677816.045943,868,47,563,2004,5862,735
1721677816.055239,896,55,367,3772,6518,-5434
1721677816.064535,789,170,384,3789,10080,-6379
1721677816.073831,990,44,484,2704,13571,-3177
1721677816.083130,1130,-34,639,-131,15032,2948,44183,-17517,50402,84536,37936, 157839.000, 40.0102627,-105.2441087, 1592.643,1613.971, 5672.520,4011.077
1721677816.092426,1105,-70,716,-4401,12363,6212
1721677816.101722,903,-44,446,-8566,5075,7017
1721677816.111018,788,12,464,-11016,-2660,3850
1721677816.120314,900,46,464,-12013,-2363,-1147
1721677816.129610,880,121,463,-11611,2380,-6405
1721677816.138906,896,159,466,-7980,4130,-10859
1721677816.148202,910,66,428,-1846,3220,-12347
1721677816.157532,873,82,381,4848,1715,-14525,43780,-19024,49920,84529,37941
1721677816.166828,904,92,478,7902,-753,-19749
1721677816.176124,967,104,469,9258,-3395,-21412
1721677816.185420,972,72,483,11227,-4568,-21735
1721677816.194716,952,10,488,13887,-6650,-22173
1721677816.204012,916,-21,482,15330,-10973,-22759
1721677816.213308,853,-40,522,14543,-14175,-20082
1721677816.222604,852,-73,470,10037,-14123,-14499
1721677816.231903,849,-58,478,4139,-9949,-7998,,,,,, 157839.200, 40.0102627,-105.2441087, 1592.643,1613.971, 5672.544,4011.094
1721677816.241199,781,-30,491,-2073,-2897,-2345
1721677816.250495,899,11,571,-9467,2091,4926
1721677816.259791,1022,56,501,-18138,5145,11270
1721677816.269087,997,72,483,-22750,7315,16345
1721677816.278383,976,99,532,-25558,5075,19503
1721677816.287679,894,21,506,-25655,787,17456
1721677816.296975,828,53,498,-21761,-2678,9651
1721677816.306275,969,167,479,-14315,-4384,-1523,44342,-17858,49847,84532,37947, 157839.200, 40.0102627,-105.2441087, 1592.643,1613.971, 5672.544,4011.094
1721677816.315571,981,275,391,-6667,-5058,-9844
1721677816.324867,845,-168,619,455,-8313,-5110
1721677816.334163,884,-152,604,-918,-8085,11961
1721677816.343459,891,13,495,-9791,-4883,10132
1721677816.352755,957,75,544,-12652,-6449,3535
1721677816.362051,1234,-6,624,-12958,-6843,3010
1721677816.371347,987,65,539,-14700,-8987,5670
1721677816.380768,986,-27,463,-19512,-19355,11550,44549,-16601,50323,84527,37952, 157839.300, 40.0102627,-105.2441087, 1592.643,1613.971, 5672.558,4011.104
1721677816.390064,628,228,524,-23686,-23634,12390
1721677816.399360,676,157,365,-25226,-20519,9870
1721677816.408656,762,110,448,-21043,-10107,10482
1721677816.417952,816,48,448,-17088,3228,10438
1721677816.427248,837,41,380,-16703,10386,11156
1721677816.436544,854,21,460,-19267,11270,12468
1721677816.445840,889,84,437,-21000,11138,11305
1721677816.455139,1194,220,588,-20011,9380,8723,44958,-16241,50067,84533,37950
1721677816.464435,894,297,380,-18733,7105,402
1721677816.473731,873,86,371,-8102,-10290,-3640
1721677816.483027,809,83,471,3894,-15619,-9984
1721677816.492323,1019,238,498,11690,-12557,-16538
1721677816.501619,1160,-45,386,13003,-9835,-14420
1721677816.510915,929,-2,673,13747,-15549,1067
1721677816.520211,917,36,389,6615,-21858,3272
1721677816.529511,798,45,503,-271,-24177,4453,44738,-16278,50439,,, 157839.400, 40.0102627,-105.2441087, 1592.643,1613.971, 5672.574,4011.115
1721677816.538807,816,-13,427,-1583,-23240,5232
1721677816.548103,810,-5,436,-2730,-16730,2205
1721677816.557399,758,28,440,-4322,-12198,-1855
1721677816.566695,815,59,488,-5993,-10772,-4953
1721677816.575991,842,78,535,-5407,-6764,-9485
